Configuration,Params,ROC AUC,AUPRC,MCC,Balanced Accuracy
Proposed Framework (Full),397124,0.8361096658653433,0.5782031467972707,0.41297680613975984,0.7616839728667453
Baseline A: W/o Delta Learning,364227,0.5509178213340685,0.18624364178011368,0.05005664376749587,0.5352781419464849
Baseline B: W/o Transformer,132164,0.6766773845035963,0.3990440863921343,0.3858812605477801,0.6395735536801808
Baseline C: W/o Multi-Kernel CNN,381188,0.7944350488958039,0.492346847746438,0.3436180939044425,0.7140830536195808
Baseline D: Single Sequence,331459,0.6192047020805342,0.22877128518210857,0.13802846305625627,0.5742276124635193
